waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.33901972,-2.664867E-4,0.661,0.0,4.0,NaN,NaN,,1776884955624
2,2.0,0.0,1.4125028,-0.023921829,0.588,0.0,4.0,NaN,NaN,,1776884959406
3,3.0,0.0,2.3503509,-0.14742434,0.666,0.0,4.0,1.9129246,3.9233928,1.914,1776884962373
4,3.0,1.0,2.5522554,1.3438901,0.565,0.0,4.0,1.0746773,1.2310444,2.970,1776884966943
5,3.0,2.0,2.5906408,2.3547463,0.542,0.0,4.0,0.89406425,3.4633992,1.043,1776884970091
6,3.0,3.0,2.5635164,2.5619094,0.618,0.0,4.0,0.8393157,3.8796976,0.848,1776884973220
7,3.0,4.0,2.588161,3.2267382,0.876,0.0,4.0,0.77416384,4.2158422,0.804,1776884975877
8,2.0,4.0,1.3503858,3.5110402,0.813,0.0,4.0,0.8605964,3.8522048,0.873,1776884980128
9,1.0,4.0,-0.11916547,3.1578941,1.401,0.0,4.0,0.7972256,3.9397237,0.800,1776884983181
10,0.0,4.0,-1.145828,2.9334602,1.565,0.0,4.0,0.70694685,4.025499,0.707,1776884986177
11,0.0,3.0,-1.3790725,2.1281989,1.632,0.0,4.0,0.6350565,4.0802546,0.640,1776884990287
12,0.0,2.0,-1.3490434,1.5738089,1.415,0.0,4.0,0.41410458,4.2322445,0.475,1776884993122
13,0.0,1.0,-0.83805794,0.5138542,0.969,0.0,4.0,0.2359906,4.331031,0.407,1776884996237
