waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,1.1533307,-2.0238514E-4,0.153,3.5,4.0,NaN,NaN,,1776883105288
2,2.0,0.0,1.7345852,-0.002474602,0.265,3.5,4.0,NaN,NaN,,1776883108065
3,3.0,0.0,2.9882216,-0.18930663,0.190,3.5,4.0,4.371421,10.761248,6.817,1776883110632
4,3.0,1.0,2.6362615,0.5632664,0.568,3.5,4.0,2.3271353,-0.27882618,4.437,1776883114621
5,3.0,2.0,2.6722105,2.9330332,0.989,3.5,4.0,2.527352,1.9759704,2.246,1776883117273
6,3.0,3.0,2.633039,3.7630363,0.847,3.5,4.0,2.4939802,2.171574,2.087,1776883120071
7,3.0,4.0,2.5866592,4.2869024,0.503,3.5,4.0,2.4431248,2.3600454,1.951,1776883122661
8,2.0,4.0,1.448529,3.9586935,0.553,3.5,4.0,2.418817,2.4733007,1.871,1776883126910
9,1.0,4.0,0.3459067,3.4665604,0.844,3.5,4.0,2.5993173,2.3482127,1.881,1776883129711
10,0.0,4.0,-1.6809808,3.6590612,1.715,3.5,4.0,2.2692401,2.4435952,1.984,1776883132831
11,0.0,3.0,-1.599088,2.302395,1.745,3.5,4.0,1.7495049,2.5027058,2.304,1776883137551
12,0.0,2.0,-0.92631674,1.1361392,1.267,3.5,4.0,2.176978,2.501428,1.999,1776883140128
13,0.0,1.0,-0.25291058,0.70104176,0.392,3.5,4.0,2.341465,2.521018,1.879,1776883142498
